Unnamed: 0,class,type,date,value,percentage,aacc,unit
185,bioenergy,Renovable,2015-01-01,229.395,0.0006758039711908,Baleares,MWh
186,oil_gas,No-Renovable,2015-01-01,3153.758,0.0092910576977476,Baleares,MWh
187,coal,No-Renovable,2015-01-01,9163.4615,0.0269958092877098,Baleares,MWh
188,bioenergy,Renovable,2015-01-01,9163.4615,0.0269958092877098,Baleares,MWh
189,others,Generación total,2015-01-01,339440.148,1.0,Baleares,MWh
190,oil_gas,No-Renovable,2015-01-01,18698.285,0.999990854859888,Ceuta,MWh
191,oil_gas,No-Renovable,2015-01-01,0.171,9.145140112103377e-06,Ceuta,MWh
192,others,Generación total,2015-01-01,18698.456,1.0,Ceuta,MWh
193,oil_gas,No-Renovable,2015-01-01,17307.293,0.938606865689676,Melilla,MWh
194,oil_gas,No-Renovable,2015-01-01,314.118,0.0170352065708201,Melilla,MWh
195,solar,Renovable,2015-01-01,4.798,0.0002602045127206,Melilla,MWh
196,coal,No-Renovable,2015-01-01,406.5665,0.0220488616133916,Melilla,MWh
197,bioenergy,Renovable,2015-01-01,406.5665,0.0220488616133916,Melilla,MWh
198,others,Generación total,2015-01-01,18439.342,1.0,Melilla,MWh
199,,Renovable,2015-01-01,37843.156,0.0123351040952056,Andalucia,MWh
200,hydropower,No-Renovable,2015-01-01,31478.777,0.0102606133348065,Andalucia,MWh
201,coal,No-Renovable,2015-01-01,1126723.635,0.3672593618844453,Andalucia,MWh
202,oil_gas,No-Renovable,2015-01-01,493423.153,0.1608329378035911,Andalucia,MWh
203,,Renovable,2015-01-01,609617.02,0.198706719912818,Andalucia,MWh
204,solar,Renovable,2015-01-01,104183.797,0.0339590593614543,Andalucia,MWh
205,solar,Renovable,2015-01-01,81452.689,0.0265497781857679,Andalucia,MWh
206,bioenergy,Renovable,2015-01-01,122853.818,0.0400446155580536,Andalucia,MWh
207,oil_gas,No-Renovable,2015-01-01,460347.477,0.1500518098638575,Andalucia,MWh
208,others,Generación total,2015-01-01,3067923.5219999994,1.0,Andalucia,MWh
209,,Renovable,2015-01-01,231539.73,0.1505307638421024,Aragon,MWh
210,hydropower,No-Renovable,2015-01-01,29167.832,0.0189628623587758,Aragon,MWh
211,coal,No-Renovable,2015-01-01,465086.606,0.302366432119062,Aragon,MWh
212,oil_gas,No-Renovable,2015-01-01,36181.937,0.0235229375705708,Aragon,MWh
213,,Renovable,2015-01-01,520478.961,0.3383786254008064,Aragon,MWh
214,solar,Renovable,2015-01-01,16179.925,0.0105190434020024,Aragon,MWh
215,bioenergy,Renovable,2015-01-01,4482.467,0.0029141831572793,Aragon,MWh
216,oil_gas,No-Renovable,2015-01-01,201553.154,0.1310356120152896,Aragon,MWh
217,coal,Renovable,2015-01-01,33484.939,0.0217695401341109,Aragon,MWh
218,others,Generación total,2015-01-01,1538155.5510000002,1.0,Aragon,MWh
219,,Renovable,2015-01-01,30149.728,0.185183315477672,Cantabria,MWh
220,hydropower,No-Renovable,2015-01-01,50204.43,0.3083617470468292,Cantabria,MWh
221,,Renovable,2015-01-01,4938.689,0.0303340316414499,Cantabria,MWh
222,solar,Renovable,2015-01-01,79.094,0.0004858050180217,Cantabria,MWh
223,bioenergy,Renovable,2015-01-01,5132.423,0.0315239695553426,Cantabria,MWh
224,oil_gas,No-Renovable,2015-01-01,72305.811,0.4441111312606844,Cantabria,MWh
225,coal,Renovable,2015-03-01,3445.1475,0.0192047771055768,Cantabria,MWh
226,bioenergy,Renovable,2015-03-01,3445.1475,0.0192047771055768,Cantabria,MWh
227,others,Generación total,2015-01-01,162810.175,1.0,Cantabria,MWh
228,,Renovable,2015-01-01,65596.787,0.0308192017459076,Castilla-La Mancha,MWh
229,hydropower,No-Renovable,2015-01-01,2429.59,0.0011414892069308,Castilla-La Mancha,MWh
230,nuclear,No-Renovable,2015-01-01,736096.046,0.3458384714184078,Castilla-La Mancha,MWh
231,coal,No-Renovable,2015-01-01,155689.323,0.0731471902003488,Castilla-La Mancha,MWh
