project,type,country,unit,status,capacity,start_year,owner,lat,lng,url,aacc
Jinamar power station,oil_gas,Spain,MWh,operating,27000.0,1989.0,Endesa SA,28.042431,-15.411372,https://www.gem.wiki/Jinamar_power_station,Canarias
Jinamar power station,oil_gas,Spain,MWh,operating,25920.0,1974.0,Endesa SA,28.042431,-15.411372,https://www.gem.wiki/Jinamar_power_station,Canarias
Jinamar power station,oil_gas,Spain,MWh,operating,34560.0,1990.0,Endesa SA,28.042431,-15.411372,https://www.gem.wiki/Jinamar_power_station,Canarias
Jinamar power station,oil_gas,Spain,MWh,operating,23760.0,1972.0,Endesa SA,28.042431,-15.411372,https://www.gem.wiki/Jinamar_power_station,Canarias
Jinamar power station,oil_gas,Spain,MWh,mothballed,28800.0,1975.0,Endesa SA,28.042431,-15.411372,https://www.gem.wiki/Jinamar_power_station,Canarias
Jinamar power station,oil_gas,Spain,MWh,mothballed,28800.0,1975.0,Endesa SA,28.042431,-15.411372,https://www.gem.wiki/Jinamar_power_station,Canarias
Jinamar power station,oil_gas,Spain,MWh,retired,43200.0,1982.0,Endesa SA,28.042431,-15.411372,https://www.gem.wiki/Jinamar_power_station,Canarias
Jinamar power station,oil_gas,Spain,MWh,retired,43200.0,1984.0,Endesa SA,28.042431,-15.411372,https://www.gem.wiki/Jinamar_power_station,Canarias
La Coruna Refinery power station,oil_gas,Spain,MWh,operating,57600.0,2001.0,Repsol SA,43.3543,-8.4471,https://www.gem.wiki/La_Coruna_Refinery_power_station,Galicia
Las Salinas power station,oil_gas,Spain,MWh,operating,18720.0,1992.0,Endesa SA,28.50414,-13.84489,https://www.gem.wiki/Las_Salinas_power_station,
Las Salinas power station,oil_gas,Spain,MWh,operating,27360.0,2000.0,Endesa SA,28.50414,-13.84489,https://www.gem.wiki/Las_Salinas_power_station,
Las Salinas power station,oil_gas,Spain,MWh,operating,17280.0,1990.0,Endesa SA,28.50414,-13.84489,https://www.gem.wiki/Las_Salinas_power_station,
Las Salinas power station,oil_gas,Spain,MWh,operating,38880.0,2005.0,Endesa SA,28.50414,-13.84489,https://www.gem.wiki/Las_Salinas_power_station,
Los Guinchos power station,oil_gas,Spain,MWh,operating,15840.0,1983.0,Endesa SA,28.662979,-17.791705,https://www.gem.wiki/Los_Guinchos_power_station,Canarias
