class,type,date,value,percentage,aacc
Ciclo combinado,No-Renovable,2015-01-01,254475.058,0.34941819683104336,Canarias
Hidroeólica,Renovable,2015-01-01,384.989,0.000528626118555739,Canarias
Eólica,Renovable,2015-01-01,41468.698,0.05694042392198254,Canarias
Solar fotovoltaica,Renovable,2015-01-01,18338.96,0.025181117494652978,Canarias
Otras renovables,Renovable,2015-01-01,378.989,0.0005203875540478324,Canarias
Generación total,Generación total,2015-01-01,728282.2139999998,1.0,Canarias
Carbón,No-Renovable,2015-01-01,180751.809,0.5324997943378225,Baleares
Motores diésel,No-Renovable,2015-01-01,56110.774,0.16530388149606864,Baleares
Turbina de gas,No-Renovable,2015-01-01,36805.256,0.10842929516988074,Baleares
Ciclo combinado,No-Renovable,2015-01-01,36581.086,0.10776888419221407,Baleares
Eólica,Renovable,2015-01-01,602.192,0.0017740741734534008,Baleares
Solar fotovoltaica,Renovable,2015-01-01,6878.955,0.020265590386202636,Baleares
Otras renovables,Renovable,2015-01-01,229.395,0.000675803971190821,Baleares
Cogeneración,No-Renovable,2015-01-01,3153.758,0.009291057697747645,Baleares
Residuos no renovables,No-Renovable,2015-01-01,9163.4615,0.02699580928770983,Baleares
Residuos renovables,Renovable,2015-01-01,9163.4615,0.02699580928770983,Baleares
Generación total,Generación total,2015-01-01,339440.148,1.0,Baleares
Motores diésel,No-Renovable,2015-01-01,18698.285,0.999990854859888,Ceuta
Turbina de gas,No-Renovable,2015-01-01,0.171,9.145140112103375e-06,Ceuta
Generación total,Generación total,2015-01-01,18698.456,1.0,Ceuta
Motores diésel,No-Renovable,2015-01-01,17307.293,0.938606865689676,Melilla
Turbina de gas,No-Renovable,2015-01-01,314.118,0.017035206570820152,Melilla
Solar fotovoltaica,Renovable,2015-01-01,4.798,0.00026020451272068166,Melilla
Residuos no renovables,No-Renovable,2015-01-01,406.5665,0.02204886161339163,Melilla
Residuos renovables,Renovable,2015-01-01,406.5665,0.02204886161339163,Melilla
Generación total,Generación total,2015-01-01,18439.342,1.0,Melilla
Hidráulica,Renovable,2015-01-01,37843.156,0.012335104095205673,Andalucía
Turbinación bombeo,No-Renovable,2015-01-01,31478.777,0.010260613334806592,Andalucía
Carbón,No-Renovable,2015-01-01,1126723.635,0.36725936188444536,Andalucía
Ciclo combinado,No-Renovable,2015-01-01,493423.153,0.1608329378035911,Andalucía
Eólica,Renovable,2015-01-01,609617.02,0.198706719912818,Andalucía
Solar fotovoltaica,Renovable,2015-01-01,104183.797,0.033959059361454325,Andalucía
Solar térmica,Renovable,2015-01-01,81452.689,0.02654977818576796,Andalucía
Otras renovables,Renovable,2015-01-01,122853.818,0.04004461555805367,Andalucía
Cogeneración,No-Renovable,2015-01-01,460347.477,0.15005180986385752,Andalucía
Generación total,Generación total,2015-01-01,3067923.5219999994,1.0,Andalucía
Hidráulica,Renovable,2015-01-01,231539.73,0.15053076384210246,Aragón
Turbinación bombeo,No-Renovable,2015-01-01,29167.832,0.01896286235877583,Aragón
Carbón,No-Renovable,2015-01-01,465086.606,0.30236643211906206,Aragón
Ciclo combinado,No-Renovable,2015-01-01,36181.937,0.02352293757057084,Aragón
Eólica,Renovable,2015-01-01,520478.961,0.3383786254008064,Aragón
