class,type,date,value,percentage,aacc
Solar fotovoltaica,Renovable,2015-01-01,16179.925,0.010519043402002453,Aragón
Otras renovables,Renovable,2015-01-01,4482.467,0.0029141831572793895,Aragón
Cogeneración,No-Renovable,2015-01-01,201553.154,0.1310356120152896,Aragón
Residuos no renovables,Renovable,2015-01-01,33484.939,0.021769540134110917,Aragón
Generación total,Generación total,2015-01-01,1538155.5510000002,1.0,Aragón
Hidráulica,Renovable,2015-01-01,30149.728,0.18518331547767208,Cantabria
Turbinación bombeo,No-Renovable,2015-01-01,50204.43,0.3083617470468292,Cantabria
Eólica,Renovable,2015-01-01,4938.689,0.030334031641449932,Cantabria
Solar fotovoltaica,Renovable,2015-01-01,79.094,0.00048580501802175446,Cantabria
Otras renovables,Renovable,2015-01-01,5132.423,0.0315239695553426,Cantabria
Cogeneración,No-Renovable,2015-01-01,72305.811,0.44411113126068447,Cantabria
Residuos no renovables,Renovable,2015-03-01,3445.1475,0.0192047771055768,Cantabria
Residuos renovables,Renovable,2015-03-01,3445.1475,0.0192047771055768,Cantabria
Generación total,Generación total,2015-01-01,162810.175,1.0,Cantabria
Hidráulica,Renovable,2015-01-01,65596.787,0.030819201745907604,Castilla_la_Mancha
Turbinación bombeo,No-Renovable,2015-01-01,2429.59,0.001141489206930816,Castilla_la_Mancha
Nuclear,No-Renovable,2015-01-01,736096.046,0.3458384714184078,Castilla_la_Mancha
Carbón,No-Renovable,2015-01-01,155689.323,0.07314719020034889,Castilla_la_Mancha
Ciclo combinado,No-Renovable,2015-01-01,115920.162,0.05446252815852539,Castilla_la_Mancha
Eólica,Renovable,2015-01-01,843910.618,0.39649276711762677,Castilla_la_Mancha
Solar fotovoltaica,Renovable,2015-01-01,119605.298,0.05619390792633486,Castilla_la_Mancha
Solar térmica,Renovable,2015-01-01,28687.751,0.013478306272917951,Castilla_la_Mancha
Otras renovables,Renovable,2015-01-01,21508.804,0.010105436563366809,Castilla_la_Mancha
Cogeneración,No-Renovable,2015-01-01,38994.493,0.018320701389633338,Castilla_la_Mancha
Generación total,Generación total,2015-01-01,2128438.8719999995,1.0,Castilla_la_Mancha
Hidráulica,Renovable,2015-01-01,637510.904,0.23554570097313227,Castilla_León
Turbinación bombeo,No-Renovable,2015-01-01,45097.203,0.01666238526417839,Castilla_León
Nuclear,No-Renovable,2015-01-01,-1922.414,0.0007102880128785422,Castilla_León
Carbón,No-Renovable,2015-01-01,794903.778,0.29369876879031565,Castilla_León
Eólica,Renovable,2015-01-01,1004888.307,0.37128325050894995,Castilla_León
Solar fotovoltaica,Renovable,2015-01-01,44318.279,0.016374590657947156,Castilla_León
Otras renovables,Renovable,2015-01-01,22498.831,0.008312803570448479,Castilla_León
Cogeneración,No-Renovable,2015-01-01,155387.728,0.05741221222214955,Castilla_León
Generación total,Generación total,2015-01-01,2702682.616,1.0,Castilla_León
Hidráulica,Renovable,2015-01-01,374907.888,0.09308159994188135,Cataluña
Turbinación bombeo,No-Renovable,2015-01-01,38072.762,0.009452651476798116,Cataluña
Nuclear,No-Renovable,2015-01-01,2214169.982,0.5497309901034855,Cataluña
Ciclo combinado,No-Renovable,2015-01-01,564853.85,0.1402411146156825,Cataluña
Eólica,Renovable,2015-01-01,361144.539,0.0896644551271569,Cataluña
Solar fotovoltaica,Renovable,2015-01-01,21770.057,0.005405038947555976,Cataluña
Solar térmica,Renovable,2015-01-01,1137.14,0.0002823275101587379,Cataluña
Otras renovables,Renovable,2015-01-01,15376.211,0.0038175839099015047,Cataluña
Cogeneración,No-Renovable,2015-01-01,411771.521,0.10223405058146443,Cataluña
Residuos no renovables,Renovable,2015-01-01,12264.827,0.0030450938929574745,Cataluña
Residuos renovables,Renovable,2015-01-01,12264.827,0.0030450938929574745,Cataluña
Generación total,Generación total,2015-01-01,4027733.6040000003,1.0,Cataluña
Hidráulica,Renovable,2015-01-01,58225.095,0.107244108427656,País_Vasco
Ciclo combinado,No-Renovable,2015-01-01,204588.413,0.3768289591766929,País_Vasco
Eólica,Renovable,2015-01-01,28346.676,0.05221140462729402,País_Vasco
Solar fotovoltaica,Renovable,2015-01-01,1170.339,0.002155633453463914,País_Vasco
Otras renovables,Renovable,2015-01-01,1482.463,0.0027305309284937737,País_Vasco
Cogeneración,No-Renovable,2015-01-01,188998.312,0.34811373798139716,País_Vasco
Residuos no renovables,Renovable,2015-01-01,36575.877,0.06736867185574552,País_Vasco
Residuos renovables,Renovable,2015-01-01,23533.978,0.043346953549256904,País_Vasco
Generación total,Generación total,2015-01-01,542921.1529999999,1.0,País_Vasco
Hidráulica,Renovable,2015-01-01,149692.167,0.09341992804057421,Asturias
Turbinación bombeo,No-Renovable,2015-01-01,3032.911,0.0018927799166236,Asturias
Carbón,No-Renovable,2015-01-01,1196302.417,0.7465887357412964,Asturias
Ciclo combinado,No-Renovable,2015-01-01,45452.17,0.028365802538538615,Asturias
Eólica,Renovable,2015-01-01,103831.214,0.06479901209690861,Asturias
Solar fotovoltaica,Renovable,2015-01-01,29.522,1.842409773928807e-05,Asturias
Otras renovables,Renovable,2015-01-01,20303.976,0.012671310829894967,Asturias
Cogeneración,No-Renovable,2015-01-01,30144.901,0.018812837963727482,Asturias
Residuos no renovables,Renovable,2015-01-01,53568.7,0.03343116877469686,Asturias
Generación total,Generación total,2015-01-01,1602357.978,1.0,Asturias
Hidráulica,Renovable,2015-01-01,9846.798,0.09743726811604221,Madrid
Solar fotovoltaica,Renovable,2015-01-01,5302.247,0.05246745820890004,Madrid
Otras renovables,Renovable,2015-01-01,14208.039,0.14059316596584842,Madrid
Cogeneración,No-Renovable,2015-01-01,60865.055,0.6022795108554736,Madrid
Residuos no renovables,Renovable,2015-01-01,5417.841,0.053611298426867925,Madrid
Residuos renovables,Renovable,2015-01-01,5417.841,0.053611298426867925,Madrid
Generación total,Generación total,2015-01-01,101057.821,1.0,Madrid
Hidráulica,Renovable,2015-01-01,58806.542,0.12011661061296929,Navarra
Ciclo combinado,No-Renovable,2015-01-01,56784.617,0.115986682723082,Navarra
Eólica,Renovable,2015-01-01,267116.883,0.5456055318379556,Navarra
Solar fotovoltaica,Renovable,2015-01-01,16080.194,0.032844957985779966,Navarra
Otras renovables,Renovable,2015-01-01,27636.768,0.05645009530499124,Navarra
Cogeneración,No-Renovable,2015-01-01,63153.762,0.128996121535222,Navarra
Generación total,Generación total,2015-01-01,489578.76599999995,1.0,Navarra
Hidráulica,Renovable,2015-01-01,27133.953,0.014912507358783344,Valenciana
Turbinación bombeo,No-Renovable,2015-01-01,105543.78,0.05800564318526719,Valenciana
Nuclear,No-Renovable,2015-01-01,790443.58,0.434418667396271,Valenciana
Fuel + Gas,No-Renovable,2015-01-01,0.322,1.7696748312080575e-07,Valenciana
Ciclo combinado,No-Renovable,2015-01-01,381840.09,0.2098549058444781,Valenciana
Eólica,Renovable,2015-01-01,320828.78,0.17632379412831897,Valenciana
Solar fotovoltaica,Renovable,2015-01-01,36561.775,0.020093929503662105,Valenciana
Solar térmica,Renovable,2015-01-01,4567.882,0.002510455219667181,Valenciana
Otras renovables,Renovable,2015-01-01,2882.717,0.0015843079877004963,Valenciana
Cogeneración,No-Renovable,2015-01-01,116293.764,0.06391371030349369,Valenciana
Residuos no renovables,Renovable,2015-01-01,33446.667,0.018381902104874878,Valenciana
Generación total,Generación total,2015-01-01,1819543.3099999998,1.0,Valenciana
Hidráulica,Renovable,2015-01-01,65475.528,0.037950022891982134,Extremadura
Turbinación bombeo,No-Renovable,2015-01-01,7889.564,0.004572840319939965,Extremadura
Nuclear,No-Renovable,2015-01-01,1501257.862,0.8701383855914556,Extremadura
Solar fotovoltaica,Renovable,2015-01-01,66691.635,0.03865488606603854,Extremadura
Solar térmica,Renovable,2015-01-01,59476.51,0.03447295478144451,Extremadura
Otras renovables,Renovable,2015-01-01,20658.113,0.011973570663762402,Extremadura
Cogeneración,No-Renovable,2015-01-01,3860.103,0.002237339685376938,Extremadura
Generación total,Generación total,2015-01-01,1725309.3149999997,1.0,Extremadura
Hidráulica,Renovable,2015-01-01,785057.535,0.2692100166643979,Galicia
Turbinación bombeo,No-Renovable,2015-01-01,6104.182,0.00209323121513956,Galicia
Carbón,No-Renovable,2015-01-01,1147958.392,0.3936550941331394,Galicia
Ciclo combinado,No-Renovable,2015-01-01,61203.646,0.0209878051289348,Galicia
Eólica,Renovable,2015-01-01,657535.626,0.22548051440955255,Galicia
Solar fotovoltaica,Renovable,2015-01-01,900.399,0.0003087626307473212,Galicia
Otras renovables,Renovable,2015-01-01,18303.37,0.006276547033861206,Galicia
Cogeneración,No-Renovable,2015-01-01,212357.442,0.07282109648132848,Galicia
Residuos no renovables,Renovable,2015-01-01,13366.0875,0.004583466151449397,Galicia
Residuos renovables,Renovable,2015-01-01,13366.0875,0.004583466151449397,Galicia
Generación total,Generación total,2015-01-01,2916152.767,1.0,Galicia
Hidráulica,Renovable,2015-01-01,14416.099,0.08365771851299982,La_Rioja
Ciclo combinado,No-Renovable,2015-01-01,14635.654,0.08493181287015718,La_Rioja
Eólica,Renovable,2015-01-01,129015.928,0.7486892389069645,La_Rioja
Solar fotovoltaica,Renovable,2015-01-01,6782.668,0.03936033807142497,La_Rioja
Otras renovables,Renovable,2015-01-01,862.437,0.0050047874796917,La_Rioja
Cogeneración,No-Renovable,2015-01-01,6609.616,0.03835610415876166,La_Rioja
Generación total,Generación total,2015-01-01,172322.40200000003,1.0,La_Rioja
Hidráulica,Renovable,2015-01-01,8325.584,0.016986322582935514,Murcia
Ciclo combinado,No-Renovable,2015-01-01,224439.92,0.4579148900075045,Murcia
Eólica,Renovable,2015-01-01,60806.581,0.12406099080033273,Murcia
Solar fotovoltaica,Renovable,2015-01-01,53562.315,0.10928083373836664,Murcia
Solar térmica,Renovable,2015-01-01,1629.424,0.0033244420677729166,Murcia
Otras renovables,Renovable,2015-01-01,3005.015,0.006130999838156693,Murcia
Cogeneración,No-Renovable,2015-01-01,138365.736,0.2823015209649309,Murcia
Generación total,Generación total,2015-01-01,490134.57500000007,1.0,Murcia
Hidráulica,Renovable,2016-01-01,307.662,0.0004244329908154048,Canarias
Motores diésel,No-Renovable,2016-01-01,190988.363,0.26347667933975666,Canarias
Turbina de gas,No-Renovable,2016-01-01,18430.33,0.025425434677064054,Canarias
Turbina de vapor,No-Renovable,2016-01-01,229357.249,0.3164082114731866,Canarias
Ciclo combinado,No-Renovable,2016-01-01,245251.456,0.3383349551517986,Canarias
Hidroeólica,Renovable,2016-01-01,790.736,0.0010908543967906663,Canarias
Eólica,Renovable,2016-01-01,19203.504,0.026492061537842147,Canarias
