,class,type,date,value,percentage,aacc,comunidad
162,Ciclo combinado,No-Renovable,2014-01-01,124740.781,0.29428208557082985,21,Murcia
163,Eólica,Renovable,2014-01-01,82138.578,0.1937771420531853,21,Murcia
164,Solar fotovoltaica,Renovable,2014-01-01,44482.386,0.10494057531391184,21,Murcia
165,Solar térmica,Renovable,2014-01-01,1317.929,0.003109190848775255,21,Murcia
166,Otras renovables,Renovable,2014-01-01,3155.107,0.00744336744339547,21,Murcia
167,Cogeneración,No-Renovable,2014-01-01,158233.823,0.37329716125703544,21,Murcia
168,Generación total,Generación total,2014-01-01,423881.667,1.0,21,Murcia
169,Hidráulica,Renovable,2015-01-01,302.963,0.0004159967031681486,8742,Canarias
170,Motores diésel,No-Renovable,2015-01-01,182931.25,0.25118181727282995,8742,Canarias
171,Turbina de gas,No-Renovable,2015-01-01,27866.816,0.03826376020766039,8742,Canarias
172,Turbina de vapor,No-Renovable,2015-01-01,202134.491,0.2775496738960593,8742,Canarias
173,Ciclo combinado,No-Renovable,2015-01-01,254475.058,0.34941819683104336,8742,Canarias
174,Hidroeólica,Renovable,2015-01-01,384.989,0.000528626118555739,8742,Canarias
175,Eólica,Renovable,2015-01-01,41468.698,0.05694042392198254,8742,Canarias
176,Solar fotovoltaica,Renovable,2015-01-01,18338.96,0.025181117494652978,8742,Canarias
177,Otras renovables,Renovable,2015-01-01,378.989,0.0005203875540478324,8742,Canarias
178,Generación total,Generación total,2015-01-01,728282.2139999998,1.0,8742,Canarias
179,Carbón,No-Renovable,2015-01-01,180751.809,0.5324997943378225,8743,Baleares
180,Motores diésel,No-Renovable,2015-01-01,56110.774,0.16530388149606864,8743,Baleares
181,Turbina de gas,No-Renovable,2015-01-01,36805.256,0.10842929516988074,8743,Baleares
182,Ciclo combinado,No-Renovable,2015-01-01,36581.086,0.10776888419221407,8743,Baleares
183,Eólica,Renovable,2015-01-01,602.192,0.0017740741734534008,8743,Baleares
184,Solar fotovoltaica,Renovable,2015-01-01,6878.955,0.020265590386202636,8743,Baleares
185,Otras renovables,Renovable,2015-01-01,229.395,0.000675803971190821,8743,Baleares
186,Cogeneración,No-Renovable,2015-01-01,3153.758,0.009291057697747645,8743,Baleares
187,Residuos no renovables,No-Renovable,2015-01-01,9163.4615,0.02699580928770983,8743,Baleares
188,Residuos renovables,Renovable,2015-01-01,9163.4615,0.02699580928770983,8743,Baleares
189,Generación total,Generación total,2015-01-01,339440.148,1.0,8743,Baleares
190,Motores diésel,No-Renovable,2015-01-01,18698.285,0.999990854859888,8744,Ceuta
191,Turbina de gas,No-Renovable,2015-01-01,0.171,9.145140112103375e-06,8744,Ceuta
192,Generación total,Generación total,2015-01-01,18698.456,1.0,8744,Ceuta
193,Motores diésel,No-Renovable,2015-01-01,17307.293,0.938606865689676,8745,Melilla
194,Turbina de gas,No-Renovable,2015-01-01,314.118,0.017035206570820152,8745,Melilla
195,Solar fotovoltaica,Renovable,2015-01-01,4.798,0.00026020451272068166,8745,Melilla
196,Residuos no renovables,No-Renovable,2015-01-01,406.5665,0.02204886161339163,8745,Melilla
197,Residuos renovables,Renovable,2015-01-01,406.5665,0.02204886161339163,8745,Melilla
198,Generación total,Generación total,2015-01-01,18439.342,1.0,8745,Melilla
199,Hidráulica,Renovable,2015-01-01,37843.156,0.012335104095205673,4,Andalucía
