project,unit,capacity,type,status,start_year,owner,operator,country,url,lat,lng,accuracy
Anhui Wuhu nuclear power plant,1-2,1250.0,nuclear,cancelled,,China General Nuclear Power Group CO LTD [51%]; Shenergy CO LTD [20%]; Anhui Wanneng CO LTD [15%]; Shanghai Power CO LTD [14%],Anhui Wuhu Nuclear Power CO LTD,China,https://gem.wiki/Anhui_Wuhu_nuclear_power_plant,31.1123,118.0171,Approximate
Anhui Wuhu nuclear power plant,2-3,1250.0,nuclear,cancelled,,China General Nuclear Power Group CO LTD [51%]; Shenergy CO LTD [20%]; Anhui Wanneng CO LTD [15%]; Shanghai Power CO LTD [14%],Anhui Wuhu Nuclear Power CO LTD,China,https://gem.wiki/Anhui_Wuhu_nuclear_power_plant,31.1123,118.0171,Approximate
Anhui Wuhu nuclear power plant,2-4,1250.0,nuclear,cancelled,,China General Nuclear Power Group CO LTD [51%]; Shenergy CO LTD [20%]; Anhui Wanneng CO LTD [15%]; Shanghai Power CO LTD [14%],Anhui Wuhu Nuclear Power CO LTD,China,https://gem.wiki/Anhui_Wuhu_nuclear_power_plant,31.1123,118.0171,Approximate
Bailong nuclear power plant,1,1250.0,nuclear,pre-construction,2026.0,State Nuclear Power Technology CO LTD,CPI Guangxi Nuclear Power CO LTD,China,https://gem.wiki/Bailong_nuclear_power_plant,21.6388,108.2785,Approximate
Bailong nuclear power plant,2,1250.0,nuclear,pre-construction,2027.0,State Nuclear Power Technology CO LTD,CPI Guangxi Nuclear Power CO LTD,China,https://gem.wiki/Bailong_nuclear_power_plant,21.6388,108.2785,Approximate
Bailong nuclear power plant,3,1400.0,nuclear,pre-construction,,State Nuclear Power Technology CO LTD,CPI Guangxi Nuclear Power CO LTD,China,https://gem.wiki/Bailong_nuclear_power_plant,21.6388,108.2785,Approximate
Bailong nuclear power plant,4,1400.0,nuclear,pre-construction,,State Nuclear Power Technology CO LTD,CPI Guangxi Nuclear Power CO LTD,China,https://gem.wiki/Bailong_nuclear_power_plant,21.6388,108.2785,Approximate
Bailong nuclear power plant,5,1400.0,nuclear,pre-construction,,State Nuclear Power Technology CO LTD,CPI Guangxi Nuclear Power CO LTD,China,https://gem.wiki/Bailong_nuclear_power_plant,21.6388,108.2785,Approximate
Bailong nuclear power plant,6,1400.0,nuclear,pre-construction,,State Nuclear Power Technology CO LTD,CPI Guangxi Nuclear Power CO LTD,China,https://gem.wiki/Bailong_nuclear_power_plant,21.6388,108.2785,Approximate
Cangnan San'ao nuclear power plant,1-1,1210.0,nuclear,construction,2026.0,China General Nuclear Power Group CO LTD [51%]; Shenergy CO LTD [20%]; Anhui Wanneng CO LTD [15%]; Shanghai Power CO LTD [14%],CGN Cangnan Nuclear Power CO LTD,China,https://gem.wiki/Cangnan_San'ao_nuclear_power_plant,27.19629,120.5191,Approximate
