project,type,country,unit,status,capacity,start_year,owner,lat,lng,url
Las Salinas power station,oil_gas,Spain,IC7-9,operating,54.0,2005,Endesa SA,28.50414,-13.84489,https://www.gem.wiki/Las_Salinas_power_station
Los Guinchos power station,oil_gas,Spain,GT1,operating,22.0,1983,Endesa SA,28.662979,-17.791705,https://www.gem.wiki/Los_Guinchos_power_station
Los Guinchos power station,oil_gas,Spain,IC12-15,operating,52.0,2006,Endesa SA,28.662979,-17.791705,https://www.gem.wiki/Los_Guinchos_power_station
Losan Pina power station,oil_gas,Spain,1,operating,23.0,2003,PINA SA,39.99519,-2.04026,https://www.gem.wiki/Losan_Pina_power_station
Losan Talosa power station,oil_gas,Spain,1,operating,23.0,2018,TABLEROS LOSÁN SA,41.78313,-2.51152,https://www.gem.wiki/Losan_Talosa_power_station
Mahon power station,oil_gas,Spain,GT1,operating,38.0,1992,Endesa SA,39.89686,4.25858,https://www.gem.wiki/Mahon_power_station
Mahon power station,oil_gas,Spain,GT2,operating,39.0,1992,Endesa SA,39.89686,4.25858,https://www.gem.wiki/Mahon_power_station
Mahon power station,oil_gas,Spain,GT3,operating,45.0,1999,Endesa SA,39.89686,4.25858,https://www.gem.wiki/Mahon_power_station
Mahon power station,oil_gas,Spain,GT4,operating,52.0,1999,Endesa SA,39.89686,4.25858,https://www.gem.wiki/Mahon_power_station
Mahon power station,oil_gas,Spain,GT5,operating,52.0,1999,Endesa SA,39.89686,4.25858,https://www.gem.wiki/Mahon_power_station
Mahon power station,oil_gas,Spain,IC1-3,operating,48.0,1991,Endesa SA,39.89686,4.25858,https://www.gem.wiki/Mahon_power_station
Martorell Seat power station,oil_gas,Spain,1,operating,25.0,2012,SEAT SA,41.49612,1.90134,https://www.gem.wiki/Martorell_Seat_power_station
Melilla power station,oil_gas,Spain,IC6-8,operating,36.0,2006,Endesa SA,35.290441,-2.937943,https://www.gem.wiki/Melilla_power_station
Michelin Aranda power station,oil_gas,Spain,1,operating,32.0,2003,Energyworks Aranda Sl,41.66287,-3.71,https://www.gem.wiki/Michelin_Aranda_power_station
Michelin Valladolid power station,oil_gas,Spain,1,operating,46.0,2000,Energyworks Vit-vall Sl,41.67526,-4.71607,https://www.gem.wiki/Michelin_Valladolid_power_station
Motril Mill power station,oil_gas,Spain,1,operating,49.0,2001,Cogeneracion Motril SA,36.73162,-3.5424,https://www.gem.wiki/Motril_Mill_power_station
Málaga power station,oil_gas,Spain,1,operating,416.0,2009,Naturgy Energy Group SA,36.7495,-4.5631,https://www.gem.wiki/Málaga_power_station
Navia (Prat) power station,oil_gas,Spain,1,operating,24.0,1997,Industrias Lacteas Asturianas SA,43.50544,-6.69441,https://www.gem.wiki/Navia_(Prat)_power_station
