project,type,country,unit,status,capacity,start_year,owner,lat,lng,url
Donggang nuclear power plant,nuclear,China,3,cancelled,1150.0,,China Huadian Group CO LTD,39.7895,123.5988,https://gem.wiki/Donggang_nuclear_power_plant
Donggang nuclear power plant,nuclear,China,4,cancelled,1150.0,,China Huadian Group CO LTD,39.7895,123.5988,https://gem.wiki/Donggang_nuclear_power_plant
Fangchenggang nuclear power plant,nuclear,China,1-1,operating,1086.0,2016.0,Guangxi Fangchenggang CGN Nuclear Power Industry Investment CO LTD [61%]; Guangxi Guangtou Energy Group CO LTD [39%],21.5766,108.4795,https://gem.wiki/Fangchenggang_nuclear_power_plant
Fangchenggang nuclear power plant,nuclear,China,1-2,operating,1086.0,2016.0,Guangxi Fangchenggang CGN Nuclear Power Industry Investment CO LTD [61%]; Guangxi Guangtou Energy Group CO LTD [39%],21.5766,108.4795,https://gem.wiki/Fangchenggang_nuclear_power_plant
Fangchenggang nuclear power plant,nuclear,China,2-3,operating,1180.0,2023.0,Guangxi Fangchenggang CGN Nuclear Power Industry Investment CO LTD [61%]; Guangxi Guangtou Energy Group CO LTD [39%],21.5766,108.4795,https://gem.wiki/Fangchenggang_nuclear_power_plant
Fangchenggang nuclear power plant,nuclear,China,2-4,construction,1180.0,,Guangxi Fangchenggang CGN Nuclear Power Industry Investment CO LTD [61%]; Guangxi Guangtou Energy Group CO LTD [39%],21.5766,108.4795,https://gem.wiki/Fangchenggang_nuclear_power_plant
Fangchenggang nuclear power plant,nuclear,China,5,pre-construction,1150.0,,Guangxi Fangchenggang CGN Nuclear Power Industry Investment CO LTD [61%]; Guangxi Guangtou Energy Group CO LTD [39%],21.5766,108.4795,https://gem.wiki/Fangchenggang_nuclear_power_plant
Fangchenggang nuclear power plant,nuclear,China,6,pre-construction,1150.0,,Guangxi Fangchenggang CGN Nuclear Power Industry Investment CO LTD [61%]; Guangxi Guangtou Energy Group CO LTD [39%],21.5766,108.4795,https://gem.wiki/Fangchenggang_nuclear_power_plant
Fangjiashan nuclear power plant,nuclear,China,1,operating,1089.0,2014.0,China National Nuclear CORP,30.7535,120.7589,https://gem.wiki/Fangjiashan_nuclear_power_plant
Fangjiashan nuclear power plant,nuclear,China,2,operating,1089.0,2015.0,China National Nuclear CORP,30.7535,120.7589,https://gem.wiki/Fangjiashan_nuclear_power_plant
Fuling nuclear power plant,nuclear,China,1,cancelled,1250.0,,State Power Investment Group CO LTD,29.85131,107.5308,https://gem.wiki/Fuling_nuclear_power_plant
Fuling nuclear power plant,nuclear,China,2,cancelled,1250.0,,State Power Investment Group CO LTD,29.85131,107.5308,https://gem.wiki/Fuling_nuclear_power_plant
