project,type,country,unit,plant_local,status,capacity,subnational,region,start_year,owner,parent,lat,lng,url
Panjin Liaohe Futeng power station,coal,China,Unit 3,盘锦辽河富腾热电厂,operating,30,Liaoning,Asia,2008,Panjin Liaohe Futeng Thermoelectricity Co Ltd,North Huajin Chemical Industries Co Ltd,41.20003,122.00575,https://www.gem.wiki/Panjin_Liaohe_Futeng_power_station
Panjin Liaohe Futeng power station,coal,China,Unit 4,盘锦辽河富腾热电厂,operating,30,Liaoning,Asia,2008,Panjin Liaohe Futeng Thermoelectricity Co Ltd,North Huajin Chemical Industries Co Ltd,41.20003,122.00575,https://www.gem.wiki/Panjin_Liaohe_Futeng_power_station
Panjin Xinli power station,coal,China,"Phase I, Unit 1",华润电力盘锦热电厂,operating,350,Liaoning,Asia,2014,Huarun Power (Panjin) Co Ltd,China Resources Power Holdings Co Ltd,41.13739,122.13653,https://www.gem.wiki/Panjin_Xinli_power_station
Panjin Xinli power station,coal,China,"Phase I, Unit 2",华润电力盘锦热电厂,operating,350,Liaoning,Asia,2014,Huarun Power (Panjin) Co Ltd,China Resources Power Holdings Co Ltd,41.13739,122.13653,https://www.gem.wiki/Panjin_Xinli_power_station
Panjin Xinli power station,coal,China,"Phase II, Unit 3",华润电力盘锦热电厂,cancelled,150,Liaoning,Asia,,Huarun Power (Panjin) Co Ltd,China Resources Power Holdings Co Ltd,41.13739,122.13653,https://www.gem.wiki/Panjin_Xinli_power_station
Panjin Xinli power station,coal,China,"Phase II, Unit 4",华润电力盘锦热电厂,cancelled,150,Liaoning,Asia,,Huarun Power (Panjin) Co Ltd,China Resources Power Holdings Co Ltd,41.13739,122.13653,https://www.gem.wiki/Panjin_Xinli_power_station
Pannan Cogen power station,coal,China,Unit 1,中机国能盘南煤电铝热电联产,cancelled,350,Guizhou,Asia,,China Guoneng Power Group Co Ltd,China National Machinery Industry Corp [23.2%]; J-Yuan Trust Co Ltd [17.9%]; ZHEJIN Guoneng (Tianjin) New Energy Technology Partnership LP [15.8%]; Shanghai Electric Group Co Ltd [12.8%]; Jiangsu Chen YI Xuan Trading Co Ltd [11.3%]; Shanghai Changtai Electrical Co Ltd [7.7%],25.48371,104.70077,https://www.gem.wiki/Pannan_Cogen_power_station
Pannan Cogen power station,coal,China,Unit 2,中机国能盘南煤电铝热电联产,cancelled,350,Guizhou,Asia,,China Guoneng Power Group Co Ltd,China National Machinery Industry Corp [23.2%]; J-Yuan Trust Co Ltd [17.9%]; ZHEJIN Guoneng (Tianjin) New Energy Technology Partnership LP [15.8%]; Shanghai Electric Group Co Ltd [12.8%]; Jiangsu Chen YI Xuan Trading Co Ltd [11.3%]; Shanghai Changtai Electrical Co Ltd [7.7%],25.48371,104.70077,https://www.gem.wiki/Pannan_Cogen_power_station
Pansan power station,coal,China,Unit 1,淮南矿业潘三综合利用电厂,operating,135,Anhui,Asia,2008,Huaihe Energy Power Group Co Ltd,Huaihe Energy Holding Group Co Ltd [74.0%]; China Development Bank Corp [10.7%]; China Cinda Asset Management Co Ltd [7.4%],32.81924,116.74285,https://www.gem.wiki/Pansan_power_station
Pansan power station,coal,China,Unit 2,淮南矿业潘三综合利用电厂,operating,135,Anhui,Asia,2008,Huaihe Energy Power Group Co Ltd,Huaihe Energy Holding Group Co Ltd [74.0%]; China Development Bank Corp [10.7%]; China Cinda Asset Management Co Ltd [7.4%],32.81924,116.74285,https://www.gem.wiki/Pansan_power_station
