project,unit,fuel1,fuel2,fuel3,capacity,status,start_year,conversion,owner,operator,country,url,lat,lng,accuracy,conversion_year,type
Jiangsu Wuxi Xishan District power station,1-1,bioenergy_-_refuse,,,30.0,construction,,no conversion,Everbright Environmental Protection (China) CO LTD[80%]; Wuxi Huaguang Environmental Energy Group CO LTD[10%]; Wuxi Municipal Public Utilities Industry Group CO LTD[10%],Wuxi Xidong Environmental Protection Energy CO LTD,China,https://gem.wiki/Jiangsu_Wuxi_Xishan_District_power_station,31.709523,120.471367,exact,,bioenergy
Jiangsu Wuxi Xishan District power station,1-2,bioenergy_-_refuse,,,30.0,construction,,no conversion,Everbright Environmental Protection (China) CO LTD[80%]; Wuxi Huaguang Environmental Energy Group CO LTD[10%]; Wuxi Municipal Public Utilities Industry Group CO LTD[10%],Wuxi Xidong Environmental Protection Energy CO LTD,China,https://gem.wiki/Jiangsu_Wuxi_Xishan_District_power_station,31.709523,120.471367,exact,,bioenergy
Jiangsu Taicang power station,1,bioenergy_-_refuse,,,45.0,construction,,no conversion,GCL Smart Energy (Suzhou) CO LTD[51%]; Taicang City Investment Environmental Protection Construction Investment CO LTD[49%],Taicang GCL Waste Incineration Power Generation CO LTD,China,https://gem.wiki/Jiangsu_Taicang_power_station,31.448824,121.05364,approximate,,bioenergy
Hainan Lingao power station,1,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,30.0,construction,,no conversion,Ningbo Energy Group CO LTD,Ningneng Lingao Biomass Power Generation CO LTD,China,https://gem.wiki/Hainan_Lingao_power_station,19.819436,109.631567,approximate,,bioenergy
Shanxi Dai County power station,1,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,30.0,construction,,no conversion,Shenzhen Energy Transportation CO LTD; Shenzhen Energy Group CO LTD,Shenzhen Energy Environmental Protection CO LTD,China,https://gem.wiki/Shanxi_Dai_County_power_station,39.133609,113.200349,approximate,,bioenergy
Shandong Ningyang (Ningyang Luju) power station,1,bioenergy_-_agricultural_waste,,,30.0,construction,,no conversion,,Ningyang Luju Bioenergy CO LTD,China,https://gem.wiki/Shandong_Ningyang_(Ningyang_Luju)_power_station,35.85521,117.223638,approximate,,bioenergy
Hubei Wuhan Caidian power station,2,bioenergy_-_refuse,bioenergy_-_wastewater_and_sewage_sludge,,45.0,construction,,no conversion,Wuhan Ecological Environment Investment Development Group CO LTD,Wuhan Environmental Investment and Development Group CO LTD,China,https://gem.wiki/Hubei_Wuhan_Caidian_power_station,30.408473,114.033711,approximate,,bioenergy
Beijing Tongzhou power station,2,bioenergy_-_refuse,,,40.0,construction,,no conversion,Dynagreen Environmental Protection Group CO LTD,Beijing Green Power Environmental Protection CO LTD,China,https://gem.wiki/Beijing_Tongzhou_power_station,39.662142,116.757044,approximate,,bioenergy
Henan Xingyang (Xingjin) power station,1-1,bioenergy_-_refuse,,,30.0,construction,,no conversion,Hangzhou Jinhuan Investment CO LTD,Zhengzhou Xingjin Green Energy CO LTD,China,https://gem.wiki/Henan_Xingyang_(Xingjin)_power_station,34.804579,113.409382,approximate,,bioenergy
Henan Xingyang (Xingjin) power station,1-2,bioenergy_-_refuse,,,30.0,construction,,no conversion,Hangzhou Jinhuan Investment CO LTD,Zhengzhou Xingjin Green Energy CO LTD,China,https://gem.wiki/Henan_Xingyang_(Xingjin)_power_station,34.804579,113.409382,approximate,,bioenergy
Shandong Huangdao power station,2,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,30.0,construction,,no conversion,Others,Qingdao West Coast Biomass Thermal Power CO LTD,China,https://gem.wiki/Shandong_Huangdao_power_station,36.077627,120.045353,approximate,,bioenergy
Jiangxi Shicheng (Shanli) power station,1,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,30.0,construction,,no conversion,Jiangxi Shanli New Energy CO LTD,Shicheng County Shanli Biomass Power Generation CO LTD,China,https://gem.wiki/Jiangxi_Shicheng_(Shanli)_power_station,26.312807,116.321498,approximate,,bioenergy
Jilin Tonghua Erdaojiang District power station,1,bioenergy_-_agricultural_waste,,,30.0,construction,,no conversion,Zhonghuan Huanhui Technology Group CO LTD[51%]; Beijing Hengchengxin New Energy Investment CO LTD[49%],Tonghua Xinneng Biomass Thermal Power CO LTD,China,https://gem.wiki/Jilin_Tonghua_Erdaojiang_District_power_station,41.782559,126.017041,approximate,,bioenergy
Heilongjiang Nenjiang power station,1,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,30.0,construction,,no conversion,Kaidi Ecological and Environmental Technology CO LTD,Nenjiang Kaidi Green Energy Development CO LTD,China,https://gem.wiki/Heilongjiang_Nenjiang_power_station,49.198645,125.231685,approximate,,bioenergy
Jilin Dunhua power station,1-1,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,30.0,construction,,no conversion,Kaidi Ecological and Environmental Technology CO LTD,Dunhua Kaidi Green Energy Development CO LTD,China,https://gem.wiki/Jilin_Dunhua_power_station,43.30762,128.512431,approximate,,bioenergy
